Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Europe & Central Asia (excluding high income),"$1,509,371,606,861.60","$1,449,055,610,153.63","$1,494,762,564,964.78","$1,468,176,796,062.36","$1,498,314,108,819.45","$1,437,141,951,950.75","$1,670,340,539,745.28","$1,817,993,344,339.27","$2,134,737,666,916.84","$2,421,839,057,172.22"
Europe & Central Asia,"$20,583,343,138,821.00","$20,511,787,410,869.20","$21,766,184,431,710.60","$23,306,977,599,232.00","$23,032,792,622,187.50","$22,287,615,625,568.50","$25,513,859,723,979.10","$25,700,849,227,224.30","$27,617,157,896,730.20","$29,146,936,906,252.20"
Ecuador,"$97,209,558,000.00","$97,671,433,000.00","$104,467,486,000.00","$107,478,961,000.00","$107,595,830,000.00","$95,865,473,000.00","$107,179,074,000.00","$116,133,121,000.00","$121,147,057,000.00","$124,676,074,700.00"
Egypt,"$329,366,576,819.41","$332,441,717,791.41","$248,362,771,739.13","$262,588,632,526.73","$318,678,815,489.75","$383,817,841,547.10","$424,671,765,455.70","$476,747,720,364.74","$395,926,075,163.01","$389,059,911,003.57"
Euro area,"$11,828,599,572,756.50","$12,124,585,812,257.60","$12,839,881,576,243.50","$13,868,034,531,052.80","$13,587,001,830,079.40","$13,266,853,301,191.70","$14,918,539,971,043.30","$14,452,407,617,089.90","$15,787,238,118,091.40","$16,406,126,934,435.80"
Eritrea,,,,,,,,,,
Spain,"$1,206,164,777,553.12","$1,243,015,667,917.12","$1,321,754,088,818.83","$1,431,642,809,327.06","$1,403,496,387,686.27","$1,289,783,836,971.21","$1,461,244,901,852.69","$1,446,498,147,749.03","$1,620,090,734,956.89","$1,722,745,978,335.16"
Estonia,"$23,311,847,750.94","$24,561,027,787.79","$27,469,461,919.12","$31,222,632,740.72","$31,873,748,770.03","$31,820,771,493.90","$37,204,563,051.47","$38,376,046,174.97","$41,291,245,222.19","$42,764,929,169.33"
Ethiopia,"$64,589,328,550.60","$74,296,766,562.13","$81,770,885,148.06","$84,269,180,856.91","$95,912,620,248.06","$107,657,732,424.16","$111,261,888,668.86","$126,772,707,851.34",,
European Union,"$13,655,113,751,882.80","$13,990,609,868,691.70","$14,870,146,541,628.40","$16,092,154,353,714.70","$15,809,298,345,792.20","$15,505,708,717,748.90","$17,498,522,970,845.20","$16,996,087,955,139.80","$18,602,672,971,721.60","$19,423,319,451,330.30"
Fragile and conflict affected situations,"$1,617,402,176,010.38","$1,489,679,431,071.30","$1,589,078,992,903.46","$1,735,522,724,126.93","$1,842,814,574,762.83","$1,676,505,788,095.81","$1,787,068,023,408.49","$1,967,015,531,216.77","$1,820,234,347,800.98","$1,700,322,737,099.85"
Finland,"$233,210,733,506.25","$238,777,818,792.61","$253,846,138,440.00","$273,869,255,596.08","$267,014,821,129.41","$270,000,311,606.23","$294,223,210,496.12","$280,253,099,309.34","$294,950,618,733.34","$299,835,625,550.78"
Fiji,"$4,682,479,893.98","$4,930,213,644.37","$5,353,469,174.48","$5,581,425,327.44","$5,444,407,198.13","$4,432,466,219.88","$4,305,031,649.74","$4,969,503,549.32","$5,442,046,552.97","$5,840,564,072.77"
